jobid,operatingcentercity,operatingcenterstate,mid,crid,permitnumber,,,mailingdate,Mail class,Job number,Delivery point,mailing center,pbps process date,pbps process time,usps facility,operation,calendar days,stop the clock
0PMA6103,Hartford,CT,1800006947,9387318,3395,3462,27020146377560000000000000000,3/18/2015,First,0PMA6103,89512175207,Hartford CT,3/22/2015,9:11:05 AM,Fridley MN,"DBCS/DIOSS BCS DPS, 4th PASS",4,1
0PMA6104,Grand Prairie,TX,1802130731,13626975,2010,2077,27020146377560200000000000000,3/26/2015,First,0PMA6104,97403198457,Jacksonville FL,3/28/2015,4:13:26 PM,Kansas City MO,"DBCS/DIOSS BCS DPS, 1ST PASS",2,1
0PMA6105,Indianapolis,IN,1803097149,34273215,291,358,27020146679314900000000000000,3/30/2015,Standard,0PMA6105,97504473450,Jacksonville FL,4/2/2015,4:15:27 PM,Charlotte NC,"DBCS/DIOSS BCS DPS, 3rd PASS",3,1
0PMA6106,Austin,TX,1802000001,14972544,2010,2077,27020146679314900000000000000,3/4/2015,First,0PMA6106,80246214329,Romulus MI,3/7/2015,11:04:08 AM,Lincoln NE,"DBCS/DIOSS BCS DPS, 4th PASS",3,1
0PMA6107,Jacksonville,FL,1802170521,18828327,301,368,27020146679314900000000000000,4/5/2015,Standard,0PMA6107,13782180876,Fridley MN,4/10/2015,11:21:42 AM,Pine Brook NJ,"DBCS/DIOSS BCS DPS, 2nd PASS",5,1
0PMA6108,Indianapolis,IN,1802153671,19576137,484,551,27020146679314900000000000000,3/11/2015,First,0PMA6108,48371523586,Kansas City MO,3/19/2015,4:24:14 PM,Cincinnati OH,"DBCS/DIOSS BCS DPS, 1ST PASS",8,1
0PMA6109,Austin,TX,1803123497,12931353,366,433,27020146679314900000000000000,3/22/2015,First,0PMA6109,28607782774,Kent WA,4/1/2015,2:00:32 PM,BenSalem PA,"DBCS/DIOSS BCS DPS, 3rd PASS",10,1
0PMA6110,Jacksonville,FL,1802237093,984756,11618,11685,27020146679314900000000000000,3/15/2015,Standard,0PMA6110,38006376337,Pine Brook NJ,3/19/2015,9:51:16 AM,Duncan SC,"DBCS/DIOSS BCS DPS, 4th PASS",4,1
0PMA6111,Hicksville,NY,1802645685,38356386,4125,4192,27020146590280400000000000000,3/3/2015,First,0PMA6111,92115337304,Hartford CT,3/10/2015,1:57:13 PM,Austin TX,"DBCS/DIOSS BCS DPS, 2nd PASS",7,1
0PMA6112,Duncan,SC,400069,15513870,427,494,27020146584408200000000000000,4/9/2015,Standard,0PMA6112,68410620016,Jacksonville FL,4/14/2015,11:30:37 AM,Kent WA,"DBCS/DIOSS BCS DPS, 1ST PASS",5,1
0PMA6113,Omaha,NE,1802834321,40645503,388,455,27020146590278900000000000000,4/8/2015,First,0PMA6113,11784401331,Atlanta GA,4/12/2015,10:37:12 AM,Phoenix AZ,"DBCS/DIOSS BCS DPS, 3rd PASS",4,1
0PMA6114,Kent,WA,1802031971,16343016,858,925,27020146575414000000000000000,3/15/2015,Standard,0PMA6114,28365603814,Hartford CT,3/24/2015,4:51:36 PM,Brisbane CA,"DBCS/DIOSS BCS DPS, 3rd PASS",9,1
0PMA6115,Urbandale,IA,1802376565,7827471,2010,2077,27020146575414100000000000000,3/10/2015,First,0PMA6115,28314516285,Jacksonville FL,3/17/2015,4:32:53 PM,Corona CA,"DBCS/DIOSS BCS DPS, 4th PASS",7,1
0PMA6116,Madison,WI,1802081779,18072339,484,551,27020146590280700000000000000,3/31/2015,Standard,0PMA6116,30527184048,Romulus MI,4/5/2015,8:46:19 AM,Rancho Dominguez CA,"DBCS/DIOSS BCS DPS, 2nd PASS",5,1
0PMA6117,Denver,CO,1803009441,7827471,366,433,27020146584406900000000000000,3/1/2015,First,0PMA6117,92154227295,Fridley MN,3/11/2015,9:42:03 AM,Denver CO,"DBCS/DIOSS BCS DPS, 1ST PASS",10,1
0PMA6118,Fridley,MN,212699,7295442,11618,11685,27020146584407000000000000000,3/23/2015,Standard,0PMA6118,32732893493,Kansas City MO,4/1/2015,8:59:25 AM,Hartford CT,"DBCS/DIOSS BCS DPS, 3rd PASS",9,1
0PMA6119,Kent,WA,1802370497,17317998,4125,4192,27020146590278300000000000000,3/21/2015,First,0PMA6119,92056353870,Jacksonville FL,3/30/2015,12:33:42 PM,Jacksonville FL,"DBCS/DIOSS BCS DPS, 2nd PASS",9,1
0PMA6120,Urbandale,IA,1802170609,9772893,427,494,27020146584406600000000000000,3/14/2015,First,0PMA6120,44406760169,Romulus MI,3/17/2015,12:59:20 PM,Atlanta GA,"DBCS/DIOSS BCS DPS, 1ST PASS",3,1
0PMA6121,Madison,WI,1800007181,17184186,388,455,27020146584407000000000000000,4/3/2015,First,0PMA6121,85297523179,Fridley MN,4/9/2015,3:53:25 PM,Cedar Rapids IA,"DBCS/DIOSS BCS DPS, 3rd PASS",6,1
0PMA6122,Denver,CO,1802728445,15801702,858,925,27020146590283200000000000000,3/11/2015,Standard,0PMA6122,45216000000,Kansas City MO,3/14/2015,3:20:27 PM,Indianapolis IN,"DBCS/DIOSS BCS DPS, 4th PASS",3,1
0PMA6123,Fridley,MN,1802376639,7827471,2010,2077,27020146590283200000000000000,2/27/2015,First,0PMA6123,92336316637,Charlotte NC,3/4/2015,2:19:41 PM,Baltimore MD,"DBCS/DIOSS BCS DPS, 2nd PASS",5,1
0PMA6124,Hartford,CT,1806891003,13452744,145,212,27020146590283200000000000000,3/17/2015,Standard,0PMA6124,20886395201,Lincoln NE,3/20/2015,3:59:20 PM,Romulus MI,"DBCS/DIOSS BCS DPS, 1ST PASS",3,1
0PMA6125,Grand Prairie,TX,1802176393,25288341,222,289,27020146590283500000000000000,3/31/2015,First,0PMA6125,68852001414,Pine Brook NJ,4/8/2015,8:17:14 AM,Fridley MN,"DBCS/DIOSS BCS DPS, 3rd PASS",8,1
0PMA6126,Grove City,OH,1802169631,9427152,858,925,27020146590283500000000000000,4/12/2015,Standard,0PMA6126,35611427807,Hartford CT,4/14/2015,9:22:28 AM,Kansas City MO,"DBCS/DIOSS BCS DPS, 4th PASS",2,1
0PMA6127,Rancho Dominguez,CA,1802045117,9232092,858,925,27020146590283500000000000000,2/27/2015,Standard,0PMA6127,30004664399,Jacksonville FL,3/3/2015,4:37:55 PM,Charlotte NC,"DBCS/DIOSS BCS DPS, 2nd PASS",4,1
0PMA6128,Hicksville,NY,1802130625,12168087,1055,1122,27020146590283500000000000000,4/8/2015,First,0PMA6128,98155756057,Atlanta GA,4/12/2015,12:55:18 PM,Lincoln NE,"DBCS/DIOSS BCS DPS, 1ST PASS",4,1
0PMA6129,Duncan,SC,1802170149,24915747,3395,3462,27020146590283500000000000000,2/28/2015,Standard,0PMA6129,77573627942,Hartford CT,3/4/2015,12:20:36 PM,Pine Brook NJ,"DBCS/DIOSS BCS DPS, 3rd PASS",4,1
0PMA6130,Omaha,NE,1802170155,14684184,1055,1122,27020146590282800000000000000,3/31/2015,First,0PMA6130,78747394001,Jacksonville FL,4/7/2015,3:22:36 PM,Cincinnati OH,"DBCS/DIOSS BCS DPS, 4th PASS",7,1
0PMA6131,Kent,WA,1802167001,13001070,301,368,27020146590282800000000000000,2/22/2015,Standard,0PMA6131,44141174310,Romulus MI,3/2/2015,11:20:15 AM,BenSalem PA,"DBCS/DIOSS BCS DPS, 2nd PASS",8,1
0PMA6132,Urbandale,IA,1795517,39805581,858,925,27020146590282900000000000000,3/19/2015,First,0PMA6132,89134642853,Fridley MN,3/20/2015,4:35:11 PM,Duncan SC,"DBCS/DIOSS BCS DPS, 2nd PASS",1,1
0PMA6133,Madison,WI,1802383011,33959334,301,368,27020146590282900000000000000,2/27/2015,Standard,0PMA6133,28697095555,Kansas City MO,3/1/2015,11:23:34 AM,Austin TX,"DBCS/DIOSS BCS DPS, 1ST PASS",2,1
0PMA6134,Denver,CO,1802167163,16100025,145,212,27020146590281300000000000000,3/24/2015,First,0PMA6134,17201245836,Charlotte NC,3/26/2015,11:32:38 AM,Kent WA,"DBCS/DIOSS BCS DPS, 3rd PASS",2,1
0PMA6135,Fridley,MN,1802228791,11780505,3101,3168,27020146590278600000000000000,3/21/2015,Standard,0PMA6135,79705620329,Lincoln NE,3/22/2015,10:40:39 AM,Phoenix AZ,"DBCS/DIOSS BCS DPS, 4th PASS",1,1
0PMA6136,Hicksville,NY,1802728457,9726609,1010,1077,27020146590278900000000000000,3/14/2015,Standard,0PMA6136,6249251980,Indianapolis IN,3/22/2015,4:05:31 PM,Brisbane CA,"DBCS/DIOSS BCS DPS, 2nd PASS",8,1
0PMA6137,West Sacramento,CA,1846141003,13424688,145,212,27020146590280100000000000000,3/26/2015,First,0PMA6137,68901361135,Baltimore MD,4/3/2015,3:07:12 PM,Corona CA,"DBCS/DIOSS BCS DPS, 3rd PASS",8,1
0PMA6138,Pine Brook,NJ,203751,15087471,291,358,27020146590281200000000000000,3/9/2015,Standard,0PMA6138,93706395751,Romulus MI,3/15/2015,2:01:15 PM,Rancho Dominguez CA,"DBCS/DIOSS BCS DPS, 4th PASS",6,1
0PMA6139,San Diego,CA,1795433,19589340,484,551,27020146590279600000000000000,3/28/2015,First,0PMA6139,70805440766,Phoenix AZ,4/5/2015,4:01:38 PM,Denver CO,"DBCS/DIOSS BCS DPS, 2nd PASS",8,1
0PMA6140,Lincoln,NE,1803138589,12990336,3101,3168,27020146590280300000000000000,3/30/2015,Standard,0PMA6140,21061483059,Romulus MI,4/5/2015,1:38:30 PM,Hartford CT,"DBCS/DIOSS BCS DPS, 1ST PASS",6,1
0PMA6141,Brisbane,CA,1800007503,10886931,1774,1841,27020146590279000000000000000,3/23/2015,First,0PMA6141,64468111123,Duncan SC,3/28/2015,1:49:18 PM,Jacksonville FL,"DBCS/DIOSS BCS DPS, 3rd PASS",5,1
0PMA6142,Omaha,NE,1802117567,11832990,3395,3462,27020146590279900000000000000,3/23/2015,Standard,0PMA6142,66085919320,Charlotte NC,4/1/2015,2:02:33 PM,Atlanta GA,"DBCS/DIOSS BCS DPS, 4th PASS",9,1
0PMA6143,Kent,WA,400473,17133408,1010,1077,27020146584410100000000000000,3/20/2015,First,0PMA6143,63116490313,Lincoln NE,3/30/2015,1:56:30 PM,Cedar Rapids IA,"DBCS/DIOSS BCS DPS, 2nd PASS",10,1
0PMA6144,Urbandale,IA,1802170563,9594225,427,494,27020146584409700000000000000,4/7/2015,Standard,0PMA6144,40272503016,Indianapolis IN,4/11/2015,2:39:50 PM,Indianapolis IN,"DBCS/DIOSS BCS DPS, 1ST PASS",4,1
0PMA6145,Madison,WI,1800007181,17184186,388,455,27020146590279700000000000000,3/19/2015,First,0PMA6145,41042303344,Baltimore MD,3/25/2015,9:15:07 AM,Baltimore MD,"DBCS/DIOSS BCS DPS, 2nd PASS",6,1
0PMA6146,Denver,CO,1999995481,7212636,858,925,27020146584409700000000000000,3/6/2015,Standard,0PMA6146,54456133305,Romulus MI,3/16/2015,1:53:20 PM,Romulus MI,"DBCS/DIOSS BCS DPS, 1ST PASS",10,1
0PMA6147,Fridley,MN,1802626637,38113497,2010,2077,27020146590278900000000000000,3/15/2015,First,0PMA6147,72396757006,Austin TX,3/23/2015,9:27:30 AM,Fridley MN,"DBCS/DIOSS BCS DPS, 1ST PASS",8,1
0PMA6148,Hartford,CT,1800006827,11858424,145,212,27020146590279200000000000000,2/27/2015,Standard,0PMA6148,24064151128,Kent WA,3/1/2015,2:45:36 PM,Kansas City MO,"DBCS/DIOSS BCS DPS, 1ST PASS",2,1
0PMA6149,Omaha,NE,1818267003,12929859,222,289,27020146590281000000000000000,3/4/2015,First,0PMA6149,44312362240,Phoenix AZ,3/11/2015,11:26:10 AM,Charlotte NC,"DBCS/DIOSS BCS DPS, 3rd PASS",7,1
0PMA6150,Kent,WA,1802020743,18058923,858,925,27020146584407000000000000000,3/8/2015,First,0PMA6150,33167153380,Brisbane CA,3/12/2015,10:34:02 AM,Lincoln NE,"DBCS/DIOSS BCS DPS, 4th PASS",4,1
0PMA6151,Romulus,MI,1802167155,19306242,301,368,27020146590279900000000000000,2/26/2015,Standard,0PMA6151,76302291022,Corona CA,3/7/2015,10:59:14 AM,Pine Brook NJ,"DBCS/DIOSS BCS DPS, 2nd PASS",9,1
0PMA6152,Pine Brook,NJ,1800007509,17203542,145,212,27020146584406700000000000000,4/1/2015,First,0PMA6152,91607198500,Phoenix AZ,4/2/2015,8:51:39 AM,Cincinnati OH,"DBCS/DIOSS BCS DPS, 1ST PASS",1,1
0PMA6153,San Diego,CA,1800006947,9387318,3101,3168,27020146584406700000000000000,4/3/2015,Standard,0PMA6153,89512175207,Kent WA,4/9/2015,2:30:29 PM,BenSalem PA,"DBCS/DIOSS BCS DPS, 3rd PASS",6,1
0PMA6154,Lincoln,NE,1802130731,13626975,1010,1077,27020146584406500000000000000,4/7/2015,Standard,0PMA6154,97403198457,Phoenix AZ,4/14/2015,1:35:11 PM,Duncan SC,"DBCS/DIOSS BCS DPS, 4th PASS",7,1
0PMA6155,Brisbane,CA,1803097149,34273215,145,212,27020146590279100000000000000,3/6/2015,First,0PMA6155,97504473450,Brisbane CA,3/12/2015,1:30:35 PM,Austin TX,"DBCS/DIOSS BCS DPS, 2nd PASS",6,1
0PMA6156,Hicksville,NY,1802000001,14972544,291,358,27020146584406700000000000000,3/16/2015,First,0PMA6156,80246214329,Corona CA,3/26/2015,1:57:22 PM,Kent WA,"DBCS/DIOSS BCS DPS, 1ST PASS",10,1
0PMA6157,West Sacramento,CA,1802170521,18828327,484,551,27020146590281200000000000000,4/1/2015,Standard,0PMA6157,13782180876,Phoenix AZ,4/5/2015,11:54:06 AM,Phoenix AZ,"DBCS/DIOSS BCS DPS, 3rd PASS",4,1
0PMA6158,Pine Brook,NJ,1802153671,19576137,1010,1077,27020146590280200000000000000,3/18/2015,First,0PMA6158,48371523586,Romulus MI,3/20/2015,4:04:39 PM,Brisbane CA,"DBCS/DIOSS BCS DPS, 4th PASS",2,1
0PMA6159,Ashland,VA,1803123497,12931353,4125,4192,27020146590280800000000000000,3/27/2015,Standard,0PMA6159,28607782774,Duncan SC,4/2/2015,11:36:23 AM,Corona CA,"DBCS/DIOSS BCS DPS, 2nd PASS",6,1
0PMA6160,Romulus,MI,1802237093,984756,3395,3462,27020146584407200000000000000,2/24/2015,First,0PMA6160,38006376337,Austin TX,3/6/2015,2:08:44 PM,Rancho Dominguez CA,"DBCS/DIOSS BCS DPS, 1ST PASS",10,1
0PMA6161,Pine Brook,NJ,1802645685,38356386,3101,3168,27020146584407400000000000000,3/30/2015,Standard,0PMA6161,92115337304,Kent WA,4/8/2015,10:57:13 AM,Denver CO,"DBCS/DIOSS BCS DPS, 3rd PASS",9,1
0PMA6162,San Diego,CA,400069,15513870,484,551,27020146590279900000000000000,3/23/2015,First,0PMA6162,68410620016,Phoenix AZ,3/25/2015,12:11:31 PM,Hartford CT,"DBCS/DIOSS BCS DPS, 3rd PASS",2,1
0PMA6163,Lincoln,NE,1802834321,40645503,1209,1276,27020146590280900000000000000,4/3/2015,First,0PMA6163,11784401331,Pine Brook NJ,4/9/2015,1:56:04 PM,Jacksonville FL,"DBCS/DIOSS BCS DPS, 1ST PASS",6,1
0PMA6164,Brisbane,CA,1802031971,16343016,484,551,27020146584407400000000000000,3/26/2015,First,0PMA6164,28365603814,Cincinnati OH,3/29/2015,9:53:43 AM,Atlanta GA,"DBCS/DIOSS BCS DPS, 2nd PASS",3,1
0PMA6165,Hicksville,NY,1802376565,7827471,2144,2211,27020146590278800000000000000,3/25/2015,Standard,0PMA6165,28314516285,BenSalem PA,4/3/2015,4:57:56 PM,Cedar Rapids IA,"DBCS/DIOSS BCS DPS, 1ST PASS",9,1
0PMA6166,Cedar Rapids,IA,1802081779,18072339,484,551,27020146584411500000000000000,3/25/2015,First,0PMA6166,30527184048,Indianapolis IN,3/27/2015,3:24:03 PM,Indianapolis IN,"DBCS/DIOSS BCS DPS, 3rd PASS",2,1
0PMA6167,Ashland,VA,1803009441,7827471,366,433,27020146584407500000000000000,3/19/2015,Standard,0PMA6167,92154227295,Duncan SC,3/26/2015,1:27:50 PM,Baltimore MD,"DBCS/DIOSS BCS DPS, 4th PASS",7,1
0PMA6168,Romulus,MI,212699,7295442,11618,11685,27020146584407000000000000000,3/17/2015,Standard,0PMA6168,32732893493,Austin TX,3/24/2015,11:17:48 AM,Romulus MI,"DBCS/DIOSS BCS DPS, 2nd PASS",7,1
0PMA6169,Stafford,TX,1802370497,17317998,4125,4192,27020146590281300000000000000,4/6/2015,Standard,0PMA6169,92056353870,Kent WA,4/14/2015,9:17:34 AM,Fridley MN,"DBCS/DIOSS BCS DPS, 3rd PASS",8,1
0PMA6170,Phoenix,AZ,1802170609,9772893,484,551,27020146590281000000000000000,3/26/2015,First,0PMA6170,44406760169,Phoenix AZ,4/3/2015,12:09:30 PM,Kansas City MO,"DBCS/DIOSS BCS DPS, 4th PASS",8,1
0PMA6171,Denver,CO,1800007181,17184186,484,551,27020146584411600000000000000,3/18/2015,Standard,0PMA6171,85297523179,Brisbane CA,3/27/2015,11:19:58 AM,Charlotte NC,"DBCS/DIOSS BCS DPS, 2nd PASS",9,1
0PMA6172,Fridley,MN,1802728445,15801702,1010,1077,27020146584408200000000000000,2/27/2015,First,0PMA6172,45216000000,Corona CA,3/6/2015,3:59:20 PM,Lincoln NE,"DBCS/DIOSS BCS DPS, 1ST PASS",7,1
0PMA6173,Hartford,CT,1802376639,7827471,4125,4192,27020146590278800000000000000,3/25/2015,First,0PMA6173,92336316637,Pine Brook NJ,4/3/2015,12:21:19 PM,Pine Brook NJ,"DBCS/DIOSS BCS DPS, 3rd PASS",9,1
0PMA6174,Grand Prairie,TX,1806891003,13452744,3395,3462,27020146584411600000000000000,3/21/2015,Standard,0PMA6174,20886395201,Cincinnati OH,3/29/2015,3:01:09 PM,Cincinnati OH,"DBCS/DIOSS BCS DPS, 4th PASS",8,1
0PMA6175,Indianapolis,IN,1802176393,25288341,3101,3168,27020146584411600000000000000,3/27/2015,First,0PMA6175,68852001414,BenSalem PA,4/4/2015,1:41:40 PM,BenSalem PA,"DBCS/DIOSS BCS DPS, 2nd PASS",8,1
0PMA6176,Austin,TX,1802169631,9427152,484,551,27020146590279000000000000000,3/20/2015,Standard,0PMA6176,35611427807,Romulus MI,3/27/2015,4:21:22 PM,Duncan SC,"DBCS/DIOSS BCS DPS, 1ST PASS",7,1
0PMA6177,Phoenix,AZ,1802045117,9232092,1209,1276,27020146590280000000000000000,3/7/2015,Standard,0PMA6177,30004664399,Phoenix AZ,3/9/2015,12:02:44 PM,Austin TX,"DBCS/DIOSS BCS DPS, 4th PASS",2,1
0PMA6178,Denver,CO,1802130625,12168087,484,551,27020146584407800000000000000,4/2/2015,Standard,0PMA6178,98155756057,Brisbane CA,4/5/2015,2:33:48 PM,Kent WA,"DBCS/DIOSS BCS DPS, 2nd PASS",3,1
0PMA6179,Fridley,MN,1802170149,24915747,2144,2211,27020146584408000000000000000,4/1/2015,First,0PMA6179,77573627942,Corona CA,4/5/2015,9:57:36 AM,Phoenix AZ,"DBCS/DIOSS BCS DPS, 1ST PASS",4,1
0PMA6180,Hartford,CT,1802170155,14684184,2010,2077,27020146584410100000000000000,3/23/2015,Standard,0PMA6180,78747394001,Pine Brook NJ,3/27/2015,12:09:04 PM,Brisbane CA,"DBCS/DIOSS BCS DPS, 3rd PASS",4,1
0PMA6181,Grand Prairie,TX,1802167001,13001070,145,212,27020146590281400000000000000,3/18/2015,First,0PMA6181,44141174310,Cincinnati OH,3/22/2015,1:48:00 PM,Corona CA,"DBCS/DIOSS BCS DPS, 4th PASS",4,1
0PMA6182,Indianapolis,IN,1795517,39805581,222,289,27020146590278800000000000000,3/18/2015,Standard,0PMA6182,89134642853,BenSalem PA,3/23/2015,2:05:00 PM,Rancho Dominguez CA,"DBCS/DIOSS BCS DPS, 4th PASS",5,1
0PMA6183,Austin,TX,1802383011,33959334,858,925,27020146590279200000000000000,3/13/2015,First,0PMA6183,28697095555,Jacksonville FL,3/15/2015,11:02:07 AM,Denver CO,"DBCS/DIOSS BCS DPS, 2nd PASS",2,1
0PMA6184,Jacksonville,FL,1802167163,16100025,858,925,27020146584407800000000000000,3/23/2015,Standard,0PMA6184,17201245836,Atlanta GA,3/27/2015,11:51:04 AM,Hartford CT,"DBCS/DIOSS BCS DPS, 1ST PASS",4,1
0PMA6185,Reading,PA,1802228791,11780505,1055,1122,27020146584408100000000000000,3/8/2015,First,0PMA6185,79705620329,Duncan SC,3/10/2015,1:34:45 PM,Jacksonville FL,"DBCS/DIOSS BCS DPS, 3rd PASS",2,1
0PMA6186,Hartford,CT,1802728457,9726609,3395,3462,27020146584407400000000000000,3/25/2015,First,0PMA6186,6249251980,Austin TX,4/2/2015,8:17:40 AM,Atlanta GA,"DBCS/DIOSS BCS DPS, 4th PASS",8,1
0PMA6187,Grand Prairie,TX,1846141003,13424688,2010,2077,27020146590280300000000000000,2/21/2015,Standard,0PMA6187,68901361135,Corona CA,3/1/2015,3:12:32 PM,Cedar Rapids IA,"DBCS/DIOSS BCS DPS, 2nd PASS",8,1
0PMA6188,Indianapolis,IN,203751,15087471,291,358,27020146590280500000000000000,3/16/2015,First,0PMA6188,93706395751,Hartford CT,3/19/2015,10:27:33 AM,Indianapolis IN,"DBCS/DIOSS BCS DPS, 1ST PASS",3,1
0PMA6189,Austin,TX,1795433,19589340,2010,2077,27020146575414000000000000000,3/17/2015,Standard,0PMA6189,70805440766,Jacksonville FL,3/22/2015,10:59:05 AM,Baltimore MD,"DBCS/DIOSS BCS DPS, 3rd PASS",5,1
0PMA6190,Jacksonville,FL,1803138589,12990336,301,368,27020146590283500000000000000,3/19/2015,First,0PMA6190,21061483059,Atlanta GA,3/28/2015,2:53:23 PM,Romulus MI,"DBCS/DIOSS BCS DPS, 4th PASS",9,1
0PMA6191,Reading,PA,1800007503,10886931,1010,1077,27020146584411100000000000000,3/2/2015,Standard,0PMA6191,64468111123,Romulus MI,3/4/2015,8:24:26 AM,Fridley MN,"DBCS/DIOSS BCS DPS, 2nd PASS",2,1
0PMA6192,Charlotte,NC,1802117567,11832990,4125,4192,27020146584410900000000000000,3/11/2015,First,0PMA6192,66085919320,Fridley MN,3/16/2015,3:16:08 PM,Kansas City MO,"DBCS/DIOSS BCS DPS, 1ST PASS",5,1
0PMA6193,Cedar Rapids,IA,400473,17133408,1010,1077,27020146584406500000000000000,4/6/2015,Standard,0PMA6193,63116490313,Duncan SC,4/14/2015,9:00:43 AM,Charlotte NC,"DBCS/DIOSS BCS DPS, 3rd PASS",8,1
0PMA6194,Ashland,VA,1802170563,9594225,427,494,27020146584407100000000000000,3/16/2015,Standard,0PMA6194,40272503016,Austin TX,3/25/2015,1:26:41 PM,Lincoln NE,"DBCS/DIOSS BCS DPS, 4th PASS",9,1
0PMA6195,Romulus,MI,1800007181,17184186,388,455,27020146584407700000000000000,4/14/2015,First,0PMA6195,41042303344,Kent WA,4/15/2015,1:54:12 PM,Pine Brook NJ,"DBCS/DIOSS BCS DPS, 1ST PASS",1,1
0PMA6196,Pine Brook,NJ,1999995481,7212636,858,925,27020146575414000000000000000,2/27/2015,Standard,0PMA6196,54456133305,Brisbane CA,3/2/2015,4:06:32 PM,Cincinnati OH,"DBCS/DIOSS BCS DPS, 3rd PASS",3,1
0PMA6197,Romulus,MI,1802626637,38113497,2010,2077,27020146590281100000000000000,4/10/2015,First,0PMA6197,72396757006,Corona CA,4/15/2015,1:28:08 PM,BenSalem PA,"DBCS/DIOSS BCS DPS, 4th PASS",5,1
0PMA6198,Pine Brook,NJ,1800006827,11858424,145,212,27020146575414000000000000000,3/3/2015,Standard,0PMA6198,24064151128,Jacksonville FL,3/6/2015,10:22:39 AM,Duncan SC,"DBCS/DIOSS BCS DPS, 2nd PASS",3,1
0PMA6199,San Diego,CA,1818267003,12929859,222,289,27020146577557500000000000000,3/15/2015,First,0PMA6199,44312362240,Atlanta GA,3/25/2015,8:23:25 AM,Austin TX,"DBCS/DIOSS BCS DPS, 1ST PASS",10,1
0PMA6200,Lincoln,NE,1802020743,18058923,858,925,27020146577558500000000000000,4/9/2015,Standard,0PMA6200,33167153380,Cedar Rapids IA,4/15/2015,9:32:07 AM,Kent WA,"DBCS/DIOSS BCS DPS, 3rd PASS",6,1
0PMA6201,Atlanta,GA,1802167155,19306242,858,925,27020146584409600000000000000,2/25/2015,First,0PMA6201,76302291022,Indianapolis IN,3/2/2015,8:25:44 AM,Phoenix AZ,"DBCS/DIOSS BCS DPS, 4th PASS",5,1
